Provincia;Municipio;Fecha fiesta;Nombre fiesta;INE
ÁVILA;ADANERO;14/09/2026;FIESTA LOCAL;5001
ÁVILA;ADANERO;15/09/2026;FIESTA LOCAL;5001
ÁVILA;ALBORNOS;29/09/2026;FIESTA LOCAL;5005
ÁVILA;ALBORNOS;30/09/2026;FIESTA LOCAL;5005
ÁVILA;ALDEASECA;02/07/2026;FIESTA LOCAL;5008
ÁVILA;ALDEASECA;29/09/2026;FIESTA LOCAL;5008
ÁVILA;AMAVIDA;03/02/2026;SAN BLAS;5012
ÁVILA;AMAVIDA;21/09/2026;NTRA. SRA. DE LAS AGUAS, VIRGEN DE IZQUIERDOS;5012
ÁVILA;ARENAL (EL);14/09/2026;FIESTA LOCAL;5013
ÁVILA;ARENAL (EL);13/10/2026;FIESTA LOCAL;5013
ÁVILA;ARENAS DE SAN PEDRO;08/09/2026;VIRGEN DEL PILAR;5014
ÁVILA;ARENAS DE SAN PEDRO;19/10/2026;SAN PEDRO DE ALCÁNTARA;5014
ÁVILA;AREVALILLO;15/05/2026;SAN ISIDRO;5015
ÁVILA;AREVALILLO;28/08/2026;SAN CRISTÓBAL;5015
ÁVILA;ARÉVALO;09/02/2026;NTRA. SRA. VIRGEN DE LAS ANGUSTIAS, PATRONA DE LA CIUDAD;5016
ÁVILA;ARÉVALO;07/07/2026;SAN VICTORINO MÁRTIR, PATRÓN DE LA CIUDAD;5016
ÁVILA;AVEINTE;10/07/2026;SAN PÍO;5017
ÁVILA;AVEINTE;02/10/2026;VIRGEN DEL ROSARIO;5017
ÁVILA;ÁVILA;02/05/2026;SAN SEGUNDO;5019
ÁVILA;ÁVILA;15/10/2026;SANTA TERESA DE JESÚS;5019
ÁVILA;BARROMÁN;15/05/2026;SAN ISIDRO;5023
ÁVILA;BARROMÁN;14/08/2026;NTRA. SRA. DE LA ASUNCION;5023
ÁVILA;BECEDILLAS;05/12/2026;FIESTA LOCAL;5025
ÁVILA;BERLANAS (LAS);31/08/2026;FIESTA LOCAL;5027
ÁVILA;BERLANAS (LAS);21/09/2026;FIESTA LOCAL;5027
ÁVILA;BERNUY-ZAPARDIEL;17/07/2026;SAN MARTÍN;5029
ÁVILA;BERNUY-ZAPARDIEL;25/09/2026;SAN COSME Y SAN DAMIÁN;5029
ÁVILA;BLASCOMILLÁN;12/11/2026;FIESTA LOCAL;5033
ÁVILA;BLASCOMILLÁN;13/11/2026;FIESTA LOCAL;5033
ÁVILA;BLASCONUÑO DE MATACABRAS;11/11/2026;SAN MARTÍN;5034
ÁVILA;BLASCONUÑO DE MATACABRAS;12/11/2026;SAN MARTÍN;5034
ÁVILA;BLASCOSANCHO;03/02/2026;SAN BLAS;5035
ÁVILA;BLASCOSANCHO;20/05/2026;SAN BOAL;5035
ÁVILA;BOHODÓN (EL);12/06/2026;FIESTA LOCAL;5036
ÁVILA;BOHODÓN (EL);14/08/2026;FIESTA LOCAL;5036
ÁVILA;BOHOYO;14/08/2026;FIESTA LOCAL;5037
ÁVILA;BOHOYO;02/10/2026;FIESTA LOCAL;5037
ÁVILA;BONILLA DE LA SIERRA;15/05/2026;FIESTA LOCAL;5038
ÁVILA;BONILLA DE LA SIERRA;11/11/2026;FIESTA LOCAL;5038
ÁVILA;BULARROS;26/08/2026;SAN BARTOLOMÉ;5040
ÁVILA;BULARROS;24/09/2026;SAN COSME Y SAN DAMIÁN;5040
ÁVILA;BURGOHONDO;21/09/2026;CRISTO DE LA LUZ;5041
ÁVILA;BURGOHONDO;22/09/2026;CRISTO DE LA LUZ;5041
ÁVILA;CABEZAS DE ALAMBRE;02/05/2026;SAN SEGUNDO;5042
ÁVILA;CABEZAS DE ALAMBRE;25/07/2026;SANTIAGO;5042
ÁVILA;CABEZAS DEL POZO;21/02/2026;CARNAVALES;5043
ÁVILA;CABEZAS DEL POZO;25/07/2026;SANTIAGO APÓSTOL;5043
ÁVILA;CABEZAS DEL VILLAR;13/04/2026;FIESTA LOCAL;5044
ÁVILA;CABEZAS DEL VILLAR;08/09/2026;FIESTA LOCAL ;5044
ÁVILA;CABIZUELA;27/07/2026;SAN CRISTÓBAL;5045
ÁVILA;CABIZUELA;24/08/2026;SAN BARTOLOMÉ;5045
ÁVILA;CANALES;27/07/2026;SAN CRISTÓBAL;5046
ÁVILA;CANALES;28/07/2026;SAN CRISTOBALITO;5046
ÁVILA;CANDELEDA;14/09/2026;LUNES DE FIESTAS;5047
ÁVILA;CANDELEDA;21/09/2026;LUNES DE VELA;5047
ÁVILA;CANTIVEROS;08/09/2026;VIRGEN DE LA VEGA;5048
ÁVILA;CANTIVEROS;29/09/2026;SAN MIGUEL ARCANGEL;5048
ÁVILA;CARDEÑOSA;04/05/2026;INVENCIÓN DE LA SANTA CRUZ;5049
ÁVILA;CARDEÑOSA;14/09/2026;EXALTACIÓN DE LA SANTA CRUZ Y CRISTO SAN MARCELO;5049
ÁVILA;CARRERA, (LA);02/05/2026;ROMERIAS;5051
ÁVILA;CARRERA, (LA);27/07/2026;SANTA ANA;5051
